"subject","activity","tBodyAccMeanX","tBodyAccMeanY","tBodyAccMeanZ","tBodyAccStdX","tBodyAccStdY","tBodyAccStdZ","tGravityAccMeanX","tGravityAccMeanY","tGravityAccMeanZ","tGravityAccStdX","tGravityAccStdY","tGravityAccStdZ","tBodyAccJerkMeanX","tBodyAccJerkMeanY","tBodyAccJerkMeanZ","tBodyAccJerkStdX","tBodyAccJerkStdY","tBodyAccJerkStdZ","tBodyGyroMeanX","tBodyGyroMeanY","tBodyGyroMeanZ","tBodyGyroStdX","tBodyGyroStdY","tBodyGyroStdZ","tBodyGyroJerkMeanX","tBodyGyroJerkMeanY","tBodyGyroJerkMeanZ","tBodyGyroJerkStdX","tBodyGyroJerkStdY","tBodyGyroJerkStdZ","tBodyAccMagMean","tBodyAccMagStd","tGravityAccMagMean","tGravityAccMagStd","tBodyAccJerkMagMean","tBodyAccJerkMagStd","tBodyGyroMagMean","tBodyGyroMagStd","tBodyGyroJerkMagMean","tBodyGyroJerkMagStd","fBodyAccMeanX","fBodyAccMeanY","fBodyAccMeanZ","fBodyAccStdX","fBodyAccStdY","fBodyAccStdZ","fBodyAccJerkMeanX","fBodyAccJerkMeanY","fBodyAccJerkMeanZ","fBodyAccJerkStdX","fBodyAccJerkStdY","fBodyAccJerkStdZ","fBodyGyroMeanX","fBodyGyroMeanY","fBodyGyroMeanZ","fBodyGyroStdX","fBodyGyroStdY","fBodyGyroStdZ","fBodyAccMagMean","fBodyAccMagStd","fBodyBodyAccJerkMagMean","fBodyBodyAccJerkMagStd","fBodyBodyGyroMagMean","fBodyBodyGyroMagStd","fBodyBodyGyroJerkMagMean","fBodyBodyGyroJerkMagStd"
"2","standing",0.2779115,-0.01842083,-0.1059085,-0.9872719,-0.957305,-0.9497419,0.8969286,-0.3700627,0.1297472,-0.9866858,-0.9741944,-0.9459271,0.07475886,0.01032918,-0.008371588,-0.9810857,-0.9710594,-0.9828414,-0.02386239,-0.08203966,0.08783517,-0.9729986,-0.971442,-0.9648567,-0.1055622,-0.04224195,-0.05465395,-0.979324,-0.9834473,-0.9736101,-0.9658752,-0.957875,-0.9658752,-0.957875,-0.9804891,-0.9766753,-0.9634663,-0.9539434,-0.9839519,-0.9772044,-0.9839467,-0.9598717,-0.9624712,-0.9890565,-0.9579088,-0.9464336,-0.9809732,-0.9708513,-0.9797752,-0.9830079,-0.9735202,-0.9845999,-0.9670371,-0.9725762,-0.9606277,-0.9749881,-0.9710361,-0.9697543,-0.9640522,-0.9605194,-0.9770653,-0.9751605,-0.9617759,-0.9567887,-0.9778498,-0.9777543
"2","laying",0.2813734,-0.01815874,-0.1072456,-0.9740595,-0.9802774,-0.9842333,-0.5097542,0.7525366,0.6468349,-0.9590144,-0.9882119,-0.9842304,0.08259725,0.01225479,-0.001802649,-0.9858722,-0.9831725,-0.988442,-0.01847661,-0.1118008,0.1448828,-0.9882752,-0.9822916,-0.9603066,-0.1019741,-0.03585902,-0.0701783,-0.9932358,-0.9895675,-0.9880358,-0.9774355,-0.9728739,-0.9774355,-0.9728739,-0.9877417,-0.9855181,-0.9500116,-0.9611641,-0.9917671,-0.9897181,-0.9767251,-0.9798009,-0.984381,-0.9732465,-0.9810251,-0.9847922,-0.9858136,-0.9827683,-0.9861971,-0.9872503,-0.9849874,-0.9893454,-0.9864311,-0.9833216,-0.9626719,-0.9888607,-0.9819106,-0.9631742,-0.9751102,-0.9751214,-0.9853741,-0.9845685,-0.972113,-0.9610984,-0.9902487,-0.9894927
"3","walking",0.2755675,-0.01717678,-0.1126749,-0.3603567,-0.06991407,-0.387412,0.9365067,-0.2619864,-0.1381079,-0.9777716,-0.9623556,-0.9520918,0.08147459,0.01005915,-0.005622646,-0.2686796,-0.04496196,-0.5294861,-0.02564052,-0.07791509,0.08134859,-0.5718696,-0.5637933,-0.4766964,-0.09523982,-0.03878747,-0.05036161,-0.385923,-0.639088,-0.5366641,-0.2546903,-0.3284289,-0.2546903,-0.3284289,-0.2800093,-0.1399164,-0.4664118,-0.5615107,-0.5661352,-0.5673716,-0.316614,-0.08130244,-0.4123741,-0.3792768,-0.1240308,-0.4229985,-0.3046944,-0.1405086,-0.5141373,-0.2965966,-0.005614988,-0.5435291,-0.4378458,-0.5615263,-0.4181262,-0.6151214,-0.5688887,-0.5458964,-0.2900315,-0.4563731,-0.1867645,-0.08985199,-0.5697558,-0.6326433,-0.6077516,-0.549087
"3","walking_upstairs",0.2608199,-0.03241094,-0.1100649,-0.3131234,0.01162808,-0.3697546,0.8835334,-0.3828512,-0.162944,-0.9440408,-0.909826,-0.9094697,0.0426881,0.03972493,0.02082055,-0.4583646,-0.2516804,-0.7085517,0.07219803,-0.1392754,0.02156037,-0.4560393,-0.5827428,-0.4923273,-0.1155106,-0.04003725,-0.04981809,-0.5072708,-0.7757741,-0.5734339,-0.1840149,-0.3335974,-0.1840149,-0.3335974,-0.4369012,-0.4390206,-0.3473218,-0.4088867,-0.6588614,-0.718028,-0.3920042,-0.07880942,-0.5044945,-0.285333,-0.008039875,-0.3507972,-0.4784343,-0.2837725,-0.6773145,-0.4864465,-0.2681915,-0.7387059,-0.3782167,-0.6372935,-0.4315034,-0.484821,-0.5560459,-0.5610976,-0.3158661,-0.4479944,-0.4129209,-0.4806092,-0.5142116,-0.4451818,-0.7168778,-0.7400334
"3","walking_downstairs",0.2924235,-0.01935541,-0.1161398,-0.05741005,-0.03315037,-0.3622402,0.9390578,-0.2288292,-0.1023528,-0.9500611,-0.9460946,-0.8999439,0.07256893,0.01097078,-0.00202728,-0.085801,-0.1114392,-0.5717352,-0.1315733,-0.0139358,0.1238267,-0.2616534,-0.5467404,-0.4423078,-0.07787017,-0.03915679,-0.04161931,-0.2856832,-0.6809473,-0.3746054,-0.06281261,-0.04113401,-0.06281261,-0.04113401,-0.2052392,-0.09263245,-0.2152945,-0.2457947,-0.5085676,-0.5839192,-0.04217069,-0.007700483,-0.4044524,-0.06544172,-0.1097224,-0.389723,-0.09067071,-0.1359385,-0.5290595,-0.1654429,-0.1477282,-0.6135251,-0.1290666,-0.5426942,-0.3028665,-0.3086303,-0.5530945,-0.5481643,0.02894132,-0.2338494,-0.04947798,-0.1591023,-0.3323766,-0.3224408,-0.5762772,-0.6249108
"3","sitting",0.2571976,-0.003502998,-0.09835792,-0.9710101,-0.8566178,-0.8751102,0.901099,0.1273034,0.1390206,-0.9573245,-0.903923,-0.8977363,0.07260984,0.002725291,-0.004233484,-0.9744674,-0.9536314,-0.9746616,-0.03853652,-0.075241,0.0940114,-0.9654348,-0.9448546,-0.9264137,-0.1036059,-0.03609099,-0.059008,-0.9725469,-0.9786359,-0.9737517,-0.8953834,-0.8703017,-0.8953834,-0.8703017,-0.9690808,-0.9665501,-0.9193544,-0.9255181,-0.9779981,-0.9767727,-0.9701544,-0.8919078,-0.9179879,-0.9716059,-0.8496557,-0.8643225,-0.9749504,-0.9541702,-0.9708457,-0.9762835,-0.9564618,-0.9771596,-0.9575506,-0.9561736,-0.934968,-0.9680131,-0.93961,-0.9306332,-0.9041857,-0.8746266,-0.9658889,-0.9665689,-0.9466649,-0.9254496,-0.9778981,-0.9766898
"3","standing",0.2800465,-0.01433766,-0.1016217,-0.9667425,-0.8934493,-0.911419,0.9350308,-0.3017351,0.02476311,-0.9820204,-0.9574253,-0.9281616,0.07509006,0.007716636,-0.008071779,-0.9570865,-0.9416868,-0.9730596,-0.02466261,-0.05851019,0.06652621,-0.9004622,-0.9277886,-0.9123641,-0.09946026,-0.04724158,-0.04168322,-0.9409376,-0.9684337,-0.958293,-0.9254308,-0.9151433,-0.9254308,-0.9151433,-0.9593038,-0.94877,-0.8920893,-0.8821252,-0.9623393,-0.9576798,-0.9601234,-0.9080754,-0.9395077,-0.9699313,-0.8924343,-0.9048013,-0.9576669,-0.943498,-0.9691749,-0.9605709,-0.9439485,-0.9755959,-0.9012823,-0.9377112,-0.9161725,-0.9019857,-0.9231259,-0.9197438,-0.9269689,-0.9218361,-0.9486275,-0.9482068,-0.9136824,-0.8834397,-0.9603317,-0.9571215
"3","laying",0.2755169,-0.01895568,-0.1013005,-0.9827766,-0.9620575,-0.963691,-0.2417585,0.8370321,0.4887032,-0.9825122,-0.9812027,-0.9648075,0.07698111,0.0138041,-0.004356259,-0.9808793,-0.9687107,-0.9820932,-0.02081705,-0.07185072,0.1379996,-0.9745458,-0.9772727,-0.9635056,-0.1000445,-0.03897718,-0.06873387,-0.9803286,-0.9867627,-0.9833383,-0.9727913,-0.9642182,-0.9727913,-0.9642182,-0.9794846,-0.9761213,-0.9515648,-0.9542751,-0.9867136,-0.9831393,-0.9806656,-0.96117,-0.9683321,-0.9836911,-0.9640946,-0.9632791,-0.9805132,-0.9687521,-0.9791223,-0.9831226,-0.971044,-0.9837119,-0.9701673,-0.9780997,-0.962342,-0.9759864,-0.9770325,-0.9672569,-0.9655243,-0.9683502,-0.9759496,-0.9753054,-0.9645867,-0.9554419,-0.9842783,-0.9825682
"4","walking",0.278582,-0.01483995,-0.1114031,-0.44083,-0.07882674,-0.5862528,0.9639997,-0.08585403,0.1277641,-0.9838265,-0.9679632,-0.9629681,0.07835291,0.002956024,-0.0007676793,-0.2970426,-0.2211651,-0.7513914,-0.03179826,-0.07269053,0.08056772,-0.5009167,-0.6653941,-0.6626082,-0.1153216,-0.03934745,-0.05511669,-0.4923411,-0.8074199,-0.6404541,-0.3120506,-0.5276791,-0.3120506,-0.5276791,-0.3667009,-0.316919,-0.4977922,-0.5531161,-0.681304,-0.7301464,-0.4267194,-0.1493996,-0.6310055,-0.4472349,-0.1017995,-0.5941983,-0.3588834,-0.2795534,-0.7289916,-0.2973261,-0.2099,-0.7723591,-0.3733845,-0.6884601,-0.6013811,-0.5426468,-0.6546578,-0.7164585,-0.4508046,-0.6511726,-0.3185878,-0.3204587,-0.6092856,-0.5939372,-0.7243274,-0.7577681
"4","walking_upstairs",0.2708767,-0.03198043,-0.1142195,-0.204933,-0.06668991,-0.3721378,0.9462643,-0.2329443,0.08416754,-0.9584952,-0.923376,-0.9196195,0.05609719,0.0234019,0.003402808,-0.380488,-0.2815432,-0.7264953,0.03938252,-0.08594717,0.08437538,-0.454431,-0.5511856,-0.360811,-0.1314721,-0.03905088,-0.07224963,-0.5336668,-0.8407228,-0.5562366,-0.1537039,-0.2120123,-0.1537039,-0.2120123,-0.4009223,-0.4372615,-0.2997794,-0.5109741,-0.6869784,-0.7552705,-0.2944883,-0.1171092,-0.5246557,-0.1732172,-0.1014344,-0.3451098,-0.4183046,-0.2978052,-0.6901069,-0.3967626,-0.314525,-0.7627722,-0.371069,-0.6843102,-0.3507657,-0.4835487,-0.4898243,-0.4245335,-0.2768255,-0.3010059,-0.3974063,-0.4973241,-0.5757941,-0.5524896,-0.7407492,-0.7942095
"4","walking_downstairs",0.2799653,-0.009802009,-0.1067775,0.01119355,-0.2185983,-0.479186,0.9477319,-0.06208528,0.1487148,-0.9552589,-0.932066,-0.9377538,0.09718627,0.005637802,-0.007291378,-0.1457597,-0.1462423,-0.626647,-0.1028388,-0.0704026,0.05926395,-0.3702447,-0.6994535,-0.4984808,-0.09212827,-0.03484349,-0.04928364,-0.3959955,-0.8168582,-0.3257801,-0.04916167,-0.0819559,-0.04916167,-0.0819559,-0.2288514,-0.2168589,-0.3466063,-0.3805726,-0.592843,-0.6370795,-0.07223923,-0.1296066,-0.4946835,0.03900983,-0.3225313,-0.5126943,-0.1616329,-0.1729416,-0.5839174,-0.2082501,-0.1772021,-0.6688673,-0.2402989,-0.7175458,-0.3183065,-0.414919,-0.6915184,-0.6216585,-0.01907434,-0.263644,-0.1752953,-0.2804268,-0.4292134,-0.4576741,-0.6217525,-0.6854709
"4","sitting",0.2715383,-0.007163065,-0.1058746,-0.9803099,-0.890224,-0.932203,0.869303,0.2116225,0.1101205,-0.9814053,-0.9327271,-0.9509493,0.07845002,-0.01085822,-0.01215,-0.9767422,-0.9445961,-0.9790388,-0.04944351,-0.08943006,0.1011503,-0.9701318,-0.9584681,-0.9279722,-0.09694948,-0.04184839,-0.04899644,-0.9698997,-0.9844414,-0.9688048,-0.9356948,-0.9144078,-0.9356948,-0.9144078,-0.9701323,-0.9625491,-0.9260633,-0.9288983,-0.9804905,-0.9758067,-0.9774625,-0.9057829,-0.9517837,-0.9819082,-0.8894673,-0.9269993,-0.9768457,-0.9442984,-0.9751549,-0.9787769,-0.9492932,-0.9816994,-0.9605896,-0.9675836,-0.9337769,-0.9733331,-0.9541204,-0.9328684,-0.9290021,-0.9198157,-0.9625007,-0.9615845,-0.9487698,-0.9288506,-0.9765478,-0.9762618
"4","standing",0.2804997,-0.009489111,-0.09615749,-0.9769206,-0.8615974,-0.8968805,0.9561978,-0.07590091,0.1668938,-0.9729084,-0.9176135,-0.8994048,0.07213284,-0.006530157,-0.02118899,-0.9725865,-0.9383547,-0.9730542,-0.03064493,-0.06182485,0.07556364,-0.909688,-0.9492271,-0.909995,-0.1030579,-0.04612572,-0.04907535,-0.9496339,-0.9760652,-0.957982,-0.9064781,-0.8909767,-0.9064781,-0.8909767,-0.9633707,-0.9581595,-0.9009821,-0.8851443,-0.9676141,-0.9642828,-0.9734975,-0.8895492,-0.9316434,-0.9787376,-0.8573803,-0.8875543,-0.9723109,-0.9376242,-0.9686484,-0.9757067,-0.9440753,-0.9762295,-0.9054642,-0.9559929,-0.915281,-0.9124648,-0.9458258,-0.9166516,-0.917614,-0.89534,-0.9561393,-0.9600325,-0.9142092,-0.8871944,-0.9644711,-0.9664302
"4","laying",0.2635592,-0.01500318,-0.1106882,-0.9541937,-0.941714,-0.9626673,-0.4206647,0.9151651,0.3415313,-0.9212,-0.9698166,-0.9761766,0.09344942,0.006933132,-0.006410543,-0.9783028,-0.9422095,-0.978512,-0.009231563,-0.09301282,0.1697204,-0.9731024,-0.9611093,-0.9620738,-0.1050199,-0.03812304,-0.07121563,-0.9751032,-0.9868556,-0.9839654,-0.9545576,-0.9312922,-0.9545576,-0.9312922,-0.9700958,-0.9607864,-0.9302365,-0.9470318,-0.9850685,-0.9826982,-0.9588021,-0.9388834,-0.9675043,-0.9524649,-0.946381,-0.9621545,-0.9785425,-0.94397,-0.9753833,-0.9800793,-0.9443669,-0.9802612,-0.9672037,-0.9721878,-0.9614793,-0.9750947,-0.9561825,-0.9658075,-0.9393897,-0.937188,-0.9622871,-0.9580371,-0.9615567,-0.9471003,-0.9836091,-0.9825436
"5","walking",0.2778423,-0.01728503,-0.1077418,-0.2940985,0.0767484,-0.4570214,0.972625,-0.1004403,0.002476236,-0.9793484,-0.9615855,-0.9645808,0.08458888,-0.01631941,8.321594e-05,-0.302891,-0.09103974,-0.6128953,-0.04889199,-0.06901352,0.08154355,-0.4908775,-0.504622,-0.3187006,-0.08884084,-0.04495595,-0.04826796,-0.3576814,-0.5714381,-0.1576825,-0.1583387,-0.3771787,-0.1583387,-0.3771787,-0.288333,-0.2822423,-0.3559331,-0.4921768,-0.4445325,-0.4891997,-0.2877826,0.009460378,-0.4902511,-0.2975174,0.04260268,-0.48306,-0.3449548,-0.1810556,-0.5904966,-0.3213903,-0.05452136,-0.63343,-0.3726687,-0.5139517,-0.213127,-0.5293928,-0.5026834,-0.4203671,-0.3049925,-0.5196369,-0.2694817,-0.3056854,-0.4842628,-0.5897415,-0.5480536,-0.4556653
"5","walking_upstairs",0.2684595,-0.03252698,-0.1074715,-0.04572378,0.1850225,-0.308939,0.9368218,-0.2659426,-0.02320354,-0.95358,-0.9005117,-0.9214196,0.07954435,0.01401304,-0.02559095,-0.2238966,-0.1250266,-0.638369,0.03951911,-0.1171956,0.04244428,-0.4433423,-0.4403458,-0.2654513,-0.1430297,-0.05598958,-0.05348954,-0.3052452,-0.631822,-0.2821544,0.0435562,-0.1367364,0.0435562,-0.1367364,-0.2474035,-0.3101865,-0.2355169,-0.3546879,-0.4734882,-0.5579881,-0.1614853,0.07289032,-0.4574707,-0.004738197,0.1650376,-0.2892567,-0.2897255,-0.1968179,-0.6067175,-0.2253278,-0.1053112,-0.6688257,-0.2636151,-0.516609,-0.1398014,-0.5016856,-0.4034864,-0.380378,-0.1692615,-0.2540919,-0.2646749,-0.3786167,-0.3925645,-0.4404451,-0.5713441,-0.572485
